"hour","traf"
1,4.1
2,6.6
3,8.7
4,9.2
5,11.1
6,10.9
7,8.3
8,8.2
9,7.6
10,6.4
11,5.2
12,4.7
13,4.8
14,4.9
15,5.1
16,5.3
17,6.9
18,5.1
19,6.7
20,8.1
21,9.5
22,9.4
23,9.9
24,11.2
25,11.8
26,11.4
27,7.4
1,4.9
2,6.3
3,8
4,9.5
5,10.3
6,9.5
7,7.9
8,7.7
9,8.3
10,8.5
11,8.5
12,7.4
13,8.7
14,7.8
15,8.1
16,8.3
17,8.3
18,8.4
19,9.3
20,11
21,12.1
22,13.1
23,13.7
24,15.3
25,16.8
26,15.6
27,11
1,3.4
2,3.8
3,5.3
4,5.9
5,7
6,7.4
7,6.2
8,6.5
9,6.7
10,7.7
11,8.7
12,8.2
13,8
14,6.2
15,6.8
16,8
17,9.2
18,10.1
19,12.2
20,13.9
21,15
22,17.1
23,19.6
24,20.2
25,22.6
26,23.4
27,19.3
1,4
2,5
3,5.7
4,5.6
5,8.5
6,7.6
7,7.6
8,6.6
9,7.4
10,7.7
11,7.7
12,7.9
13,10.1
14,10.8
15,11.4
16,12.5
17,12.1
18,10.5
19,9.9
20,11.1
21,12.1
22,13.7
23,15.6
24,18.3
25,19.9
26,21.5
27,22.1
1,3.4
2,5
3,5.5
4,6.4
5,8.2
6,9
7,10.1
8,10.3
9,10.9
10,12.3
11,11.9
12,10.3
13,11
14,9.7
15,10.3
16,10.9
17,8.9
18,9.4
19,11.3
20,13
21,14.6
22,17.4
23,17.8
24,18.1
25,17.7
26,17.4
27,12.1
